REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
000DE021636,beaux-arts ; dessin,06 5 11,M0476,propriété de la commune ; legs ; Montpellier ; musée Fabre,,,NOTRE DAME DE PARIS,Harpignies Henri (1819-1916),,"Valenciennes, 1819 ; Saint-Privé (89), 1916",,France,,4e quart 19e siècle,1882,,,,,,Paris (lieu d'exécution),,,,,,,,,lavis noir ; papier (blanc),15.4 H ; 23.7 L,"daté ; signé ; inscription (d'origine, face)",H. HARPIGNIES 1882 PARIS (B.G. ET B.D.),,,"paysage (Seine, péniche, quai, automobile, cathédrale, Paris)",NOTRE-DAME,,,1906,Paulet Vincent,,,,,,,lavis d'encre de Chine,,"CLAPAREDE, DESSINS DE LA COLLECTION ALFRED BRUYAS, PARIS 1962 n° 114",,,2023-01-25,,,,,,,,,Occitanie,Hérault,Montpellier,musée Fabre,Montpellier ; musée Fabre,Montpellier ; musée Fabre
000PE000021,peinture ; croyances - coutumes,MI 298,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau (1674),may,DECOLLATION DE SAINT JEAN BAPTISTE,AUDRAN Claude II,,,,France,,3e quart 17e siècle,1674,,,,"Paris (cathédrale, provenance)","commandé par Alexis Lenoir et Charles Duhamel au nom de la corporation des orfèvres, pour Notre-Dame de Paris",,,,,,Paris (lieu de provenance),,procession,,peinture à l'huile ; toile,440 H ; 356 L,signé,FAICT PAR CLAUDE AUDRAN,,,"scène biblique (martyre, saint Jean-Baptiste, Hérode, décollation)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,C.P.I. 6,,,1993-12-15,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE000225,peinture ; croyances - coutumes,MI 302,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau (1657),may,LA DECOLLATION DE SAINT PAUL,BOULLOGNE Louis ; BOULLOGNE le Père (dit),,"Paris, 1609 ; Paris, 1674",,France,,3e quart 17e siècle,1657,,,,"Paris (cathédrale, provenance) ; reproduit en gravure",peint pour le may de 1657 à Notre-Dame de Paris,,,,,,Paris (lieu de provenance),,procession,,peinture à l'huile ; toile,410 H ; 345 L,daté ; signé,L BOULLONGNE FE 1657,,,"scène biblique (martyre, saint Paul de Tarse, décollation, foule, ange)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,CAIX DE SAINT-AYMOUR 47 ; C.P.I. 65,,,1993-12-15,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE000374,peinture,MI 333,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,,L'Assomption,Champaigne Philippe de (1602-1674),,"Bruxelles, 1602 ; Paris, 1674",,Flandres ; France,,2e quart 17e siècle,1630 après,,,,"Paris (établissement conventuel, provenance)","sans doute le tableau peint pour le couvent des carmélites du faubourg Saint-Jacques à Paris, saisi à la révolution, concédé à Notre-Dame en 1811",,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; toile,394 H ; 243 L,,,,,"scène biblique (Assomption, putti, livre, objet du culte, tombeau)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,C.P.I. 95,,,2025-05-22,,Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE000486,peinture,MI 339,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,,CHRIST EN CROIX,CHAUFFER Pierre Charles,,"Rouen, 1779 ; ?",,France,Ecole Francaise 18e siècle (attribué en 1941),2e quart 19e siècle,1836,,,,"Paris (cathédrale, provenance)",provient de Notre-Dame de Paris,,,,,,Paris (lieu de provenance),,,,"peinture à l'huile, toile","H. 290, l. 195",daté ; signé,Chauffer 1836 (S.D.b.g.),,,"figures bibliques (Christ en croix, ange)",,,,1862,Chapitre de Notre-Dame de Paris,,,,,,,,,"Catalogue des peintures du Louvre, I, Ecole Française, Paris, 1972, p.77 ; Catalogue sommaire illustré des peintures du musée du Louvre et du musée d'Orsay, Ecole française, III, Paris, 1986, p. 136",,,1998-11-05,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE000839,peinture ; histoire,INV 3699,M5031,propriété de l'Etat ; musée du Louvre département des Peintures ; achat après commande ; Service d'achat aux artistes vivants,tableau,,"Le sacre de l'empereur Napoléon Ier et le couronnement de l'impératrice Joséphine dans la cathédrale Notre-Dame de Paris, le 2 décembre 1804",David (1748-1825),,"Paris, 1748 ; Bruxelles, 1825",,France,,1er quart 19e siècle,1806 ; 1807 et,,,,"Paris (palais, peinture déposée) ; reproduit en gravure",commandé par Napoléon Ier pour la salle des gardes du palais des Tuileries,,,,,,,,décor d'architecture,,"peinture à l'huile, toile","H. 621, l. 979",daté ; signé,L. David.F.Ebat (S.b.d.); 1806 Et 1807 (D.b.g.),,,"scène historique (Napoléon Ier : sacre, Joséphine, impératrice : couronnement, cathédrale : Paris, intérieur, draperie, réunion : noblesse, Pie VII, Le Brun Charles, Cambacérès duc de, Berthier Louis Alexandre, Beauharnais Eugène de, Caulaincourt Armand Augustin Louis marquis de, Bernadotte Charles Jean-Baptiste, Fesch Joseph, Estève Martin comte, Harville Louis comte d', Murat Joachim, Sérurier Jean Mathieu Philibert comte, Moncey Bon Adrien Jeannot de, Bessières Jean-Baptiste, Ségur Louis Philippe comte de, Belloy Jean-Baptiste de, La Rochefoucauld Mme de, La Valette Mme de, Bonaparte Napoléon Charles, Clary Julie, Beauharnais Hortense de, Bonaparte Elisa, Bonaparte Pauline, Bonaparte Caroline, Bonaparte Louis, Bonaparte Joseph, Kellermann François Christophe, Lefebvre François Joseph, Pérignon Dominique Catherine marquis de, Duroc Géraud Christophe Michel, Rémusat Augustin Laurent comte de, Junot Andoche, Bonaparte Marie Laetitia, Fontanges Caroline baronne de, Cossé-Brissac comte de, Lacépède comte de, Soult maréchale, Beaumont Marc Antoine comte de, Gravina Carlos duc de, Armstrong John)",,1804/12/02,,1808,"David Louis, coll. de l'artiste",Attribution ; musée du Louvre département des Peintures,1808,,,,,,"Salon des artistes français, Paris, 1808","Catalogue des peintures du Louvre, I, Ecole Française, Paris, 1A972, p. 116 ; Catalogue sommaire illustré des peintures du musée du Louvre et du musée d'Orsay, Ecole française, III, Paris, 1986, p. 185",,,2025-04-28,,Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001229,peinture ; croyances - coutumes,MI 310,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau (1705),may,SAINT PAUL RECEVANT LES ADIEUX DES PRETRES EPHESIENS,GALLOCHE Louis,,"Paris, 1670 ; Paris, 1761",,France,,1er quart 18e siècle,1705,,,,"Paris (cathédrale, provenance) ; reproduit en gravure",provient de Notre-Dame de Paris ; gravure datée 1767,,,,,,Paris (lieu de provenance),,procession,,peinture à l'huile ; toile,420 H ; 335 L,daté ; signé,L GALLOCHE PINXIT 1705,,,"scène biblique (saint Paul de Tarse, séparation, prêtre, serviteur, palmier, colonne)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,SAUNIER 4 ; C.P.I. 290,,,1993-12-15,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001346,peinture,MI 330,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,,JESUS GUERISSANT LES MALADES,Granger Jean-Pierre (1779-1840),,"Paris, 1779 ; Paris, 1840",,France,,2e quart 19e siècle,1835,,,,"Paris (cathédrale, provenance)",provient de Notre-Dame de Paris,,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; toile,"H. 434, l. 358",daté ; signé,Granger 1835 (effacé),,,"scène biblique (Jésus guérissant, maladie, cadre urbain)",,,Nouveau Testament,1862,Chapitre de Notre-Dame de Paris,,,,,,,,"Salon des artistes français, Paris, 1839","Catalogue des peintures du Louvre, I, Ecole Française, Paris, 1972, p.187",,,2022-07-25,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001420,peinture,MI 311,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,,L'ANNONCIATION,HALLE Claude Guy,,"Paris, 1652, Paris, 1736",,France,,1er quart 18e siècle,1717,,,,"Paris (cathédrale, provenance) ; reproduit en gravure",commandé par le chanoine Antoine de La Porte pour le choeur de Notre-Dame de Paris,,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; toile,425 H ; 400 L,daté ; signé,HALLE J.F. 1717,,,"scène biblique (Annonciation, putti)",,,Nouveau Testament,1862,Chapître de Notre-Dame de Paris,,,,,,,,,ESTOURNET 14 ; C.P.I. 336,,,1993-12-15,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001478,peinture ; croyances - coutumes,MI 313,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau (1675),may,La Vision de saint Étienne avant son martyre,HOUASSE René Antoine,,"Paris, 1645 ; Paris, 1710",,France,,3e quart 17e siècle,1673,,,,"Paris (cathédrale, provenance)",may de de Notre-Dame de Paris 1673,,,,,,Paris (lieu de provenance),,procession,,peinture à l'huile ; toile,425 H ; 340 L,daté ; signé,HOUACE 1673,,,"scène (saint Etienne, apparition, Christ)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,C.P.I. 343,,,2025-04-07,,© Réunion des musées nationaux - utilisation soumise à autorisation © Droits réservés,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001610,peinture,INV 5502,M5031,propriété de l'Etat ; musée du Louvre département des Peintures ; Saisie révolutionnaire,tableau,,La messe du chanoine Antoine de La Porte,JOUVENET Jean-Baptiste,,,,France,,1er quart 18e siècle,1709,,,,"Paris (cathédrale, provenance) ; reproduit en gravure",commandé par le chapître de Notre-Dame de Paris pour honorer le chanoine Antoine de La Porte en 1709,,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; toile,162 H ; 141 L,,,,,"scène (La Porte chanoine de, messe, autel, objet du culte, Eucharistie, enfant de choeur, prière, chandelier, Paris, cathédrale : intérieur, sculpture, autel, vitrail)",NOTRE-DAME DE PARIS,,,,,Attribution ; musée du Louvre département des Peintures,,,,,,,,C.P.I. 369,,,2025-03-27,,© Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001625,peinture,MI 316,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,,L'ADORATION DES MAGES,LA FOSSE Charles de,,"Paris, 1636 ; Paris, 1716",,France,,1er quart 18e siècle,1715,,,,"Paris (cathédrale, provenance)",commandé par le chanoine Antoine de La Porte pour le choeur de Notre-Dame de Paris,,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; toile,427 H ; 447 L,,,,,scène biblique (Adoration des Mages),,,Nouveau Testament,1862,Chapître de Notre-Dame de Paris,,,,,,,,,STUFFMANN 71 ; C.P.I. 379,,,2025-03-26,,Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE001632,peinture,INV 5358,M5031,propriété de l'Etat ; musée du Louvre département des Peintures ; Saisie révolutionnaire,tableau,may,SAINT PIERRE GUERISSANT LES MALADES AVEC SON OMBRE,LA HYRE Laurent de,,"Paris, 1606 ; Paris, 1656",,France,,2e quart 17e siècle,,,,,esquisse ; oeuvre en rapport,esquisse du may de Notre-Dame de Paris de 1635,,,,,,,,,,peinture à l'huile ; toile,67 H ; 49 L,,,,,"scène biblique (saint Pierre, Guérison miraculeuse, maladie, enfant) ; colonne",,,,1794,Angiviller comte d',Attribution ; musée du Louvre département des Peintures,,,,,,,,C.P.I. 387,,,2025-03-26,,Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE002187,peinture ; croyances - coutumes,MI 320,M5031,propriété de l'Etat ; don manuel ; musée du Louvre département des Peintures,tableau,may,CONVERSION DU GEOLIER DE SAINT PAUL,PLATTEMONTAGNE Matthieu de (dit) ; PLATTENBERG Nicolas,,1608 ; 1660,,France,,3e quart 17e siècle,1666,,,,"Paris (cathédrale, provenance)",may de de Notre-Dame de Paris 1666,,,,,,Paris (lieu de provenance),,procession,,peinture à l'huile ; toile,404 H ; 328 L,daté ; signé,MONTAGNE 1666,,,"scène biblique (conversion, apôtre, saint Paul de Tarse, attroupement, prière)",,,,1862,Chapître de Notre-Dame de Paris,,,,,,,,,C.P.I. 647,,,2025-03-18,,© Réunion des musées nationaux - utilisation soumise à autorisation © Droits réservés,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE002967,peinture,RF 1938-63,M5031,propriété de l'Etat ; achat en vente publique ; musée du Louvre département des Peintures,tableau,,LE SACERDOCE DE LA VIERGE,anonyme,,,,France ; Amiens,,2e quart 15e siècle,1438,,,,"Amiens (cathédrale, provenance)","commandé par Jean du Bos, maître de la confrérie du Puy-Notre-Dame pour la cathédrale d'Amiens en 1438",,,,,,Amiens (lieu de provenance),,,,peinture à l'huile ; bois,99 H ; 57.5 L,inscription concernant la représentation (d'origine) ; armoiries (d'origine),,,,"scène (Vierge, en pied, de face, ange, agenouillé, intérieur : église, autel, homme, en donateur, agenouillé, de profil)",,,,1938,"Clemens Ulens ; Van der Linden (vente Van der Linden, 1938)",,,"MALINES, BEGUINAGE",,,,date de 1462 ajoutée postérieurement ; bord supérieur du support et de la surface peinte cintré,"exposition universelle, Bruxelles, 1935 ; art flamand ancien, Anvers, 1930",STERLING XV A 110 ; RING 158 ; C.P. P.404,,,2025-03-12,,© J.G. Berizzi#Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE002985,peinture,INV 9618,M5031,propriété de l'Etat ; musée du Louvre département des Peintures ; Saisie révolutionnaire,tableau,,LA FAMILLE JOUVENEL DES URSINS,anonyme,,,,France ; Paris,ECOLE FRANCAISE 15E SIECLE (VILLOT III),2e quart 15e siècle,1445 entre ; 1449 et,,,,"Paris (cathédrale, provenance)","commandé par Jean, évêque de Laon pour la chapelle Saint-Rémy de Notre-Dame de Paris",,,,,,Paris (lieu de provenance),,,,peinture à l'huile ; chêne,165 H ; 350 L,inscription donnant l'identité du modèle (d'origine),,,,"portrait collectif (Jouvenel des Ursins Guillaume, famille, homme, femme, agenouillé, prière, cardinal) ; vue d'intérieur (église)",,,,,,Attribution ; musée du Louvre département des Peintures,,,,,,daté d'après les titres de Jean II Jacques et Guillaume,,STERLING XV A 109 ; RING 112 ; C.P. P.405 ; VILLOT III 651 ; BRIERE 999 ; S.A. II 15,,,1993-12-15,,,,,,,,,Ile-de-France,Paris,Paris,musée du Louvre,Paris ; musée du Louvre département des Peintures,Paris ; musée du Louvre
000PE003734,peinture,RF 1947 29,M5060,propriété de l'Etat ; donation sous réserve d'usufruit ; musée du Louvre département des Peintures,tableau,,PORTRAIT DE L'ARTISTE,Cézanne Paul (1839-1906),,"Aix-en-Provence, 1839 ; Aix-en-Provence, 1906",,France,,2e moitié 19e siècle,1873 vers ; 1876 ET,,,,oeuvre en rapport,"reflet dans le miroir d'un tableau exécuté par Guillaumin en 1871, la Seine avec Notre-Dame (Houston, museum of fine arts)",,,,,,,,,,peinture à l'huile ; toile,64 H ; 53 L,,,,,"autoportrait (Cézanne Paul, homme, à mi-corps, de trois-quarts, peintre, peinture) ; peinture (Seine, cathédrale, Paris)",NOTRE-DAME; GUILLAUMIN ARMAND,1839 né ; 1906 mort,,1947 ; 1969 Entrée matérielle,"Hoogendijk Cornelis, Amsterdam ; Rosenberg Paul, Paris ; Laroche Jean, Paris ; Laroche Jacques",affectation ; Musée d'Orsay,1986,,,,,,"maîtres du siècle passé, galerie Rosenberg, Paris, 1922, n° 5 ; au profit de la société des amis de la curiosité et des beaux-arts, Paris, 1924, n° 133 ; cinquante ans de peinture française, musée des arts décoratifs, Paris, 1952, n° 26 ; Cézanne, musée d'Orsay, Paris, 1988, n° 63",VENTURI 288 ; ORIENTI 239,,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Paris,Paris,musée d'Orsay,Paris ; musée d'Orsay,Paris ; musée d'Orsay
000PE003872,peinture,RF 1972 20,M5060,propriété de l'Etat ; legs ; musée du Louvre département des Peintures,tableau,,LA SEINE ET NOTRE DAME DE PARIS,Jongkind Johan Barthold (1819-1891),,"Latrop (Hollande), 1819 ; Saint-Egrève, 1891",,Pays-Bas,,3e quart 19e siècle,1864,,,,,,,,,,,,,,,peinture à l'huile ; toile,42 H ; 56.5 L,daté ; signé,JONGKIND 1864 (S.D.B.D.),,,"vue d'architecture (Paris, Seine, quai, pont, barque, personnage, cathédrale)",NOTRE-DAME; PONT SAINT-MICHEL,,,1972,Mollard Eduardo ; Alsop Enriqueta,affectation ; musée d'Orsay,1986,,,,,,,HEFTING 291,,,2026-02-23,,RMN-Grand Palais,,,,,,,Ile-de-France,Paris,Paris,musée d'Orsay,Paris ; musée d'Orsay,Paris ; musée d'Orsay
000PE005114,peinture ; histoire,MV 1790 ; INV 4981 ; LP 4492,M5077,propriété de l'Etat ; achat après commande ; musée national des châteaux de Versailles et de Trianon,tableau,,LE ROI CHARLES X SE RENDANT A L'EGLISE NOTRE-DAME. 27 SEPTEMBRE 1824,GOSSE Nicolas,,"Paris, 1787 ; Soncourt-sur Marne, 1878",,France,,2e quart 19e siècle,1840,,,,,commandé par Louis-Philippe pour le musée historique de Versailles en 1838,,,,,,,,,,peinture à l'huile ; toile,192 H ; 154 L,,,,,"scène historique (arrivée : Charles X, cathédrale : Paris, assemblée, soldat, officier, archevêque, cadre urbain, lettre)",,1824/09/27,,1840,,,,,,,,,,"SOULIE 1880, n° 1790 ; CONSTANS 1980, n° 2094",,,2024-06-14,,© Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Yvelines,Versailles,musée national des châteaux de Versailles et de Trianon,Versailles ; musée national des châteaux de Versailles et de Trianon,Versailles ; musée national des châteaux de Versailles et de Trianon
000PE005450,peinture ; histoire,MV 7156,M5077,propriété de l'Etat ; achat ; musée national des châteaux de Versailles et de Trianon,tableau,,"Sacre de l'empereur Napoléon et couronnement de l'impératrice Joséphine dans l'église de Notre-Dame de Paris, 2 décembre 1804",David (1748-1825) ; ROUGET Georges,,"David : David (1748-1825) dit David, Paris, 1748 ; Bruxelles, 1825 ; Rouget : Paris, 1783 ; Paris, 1869 ; fond et draperies executés par Rouget",,France,,1er quart 19e siècle,1808,,,,réplique ; oeuvre en rapport,réplique d'après un original conservé au musée du Louvre (inv 3699) ; commandé par des Américains en 1807,,,,,,,,,,peinture à l'huile ; toile,610 H ; 931 L,daté ; signé,COMMENCE A PARIS EN 1808.TERMINE A BRUXELLES EN 1822 DANS MON EXIL.L.DAVID,,,"scène historique (Paris, cathédrale : intérieur, mobilier religieux, sacre : Napoléon Ier, Joséphine, impératrice, Pie VII, noblesse, clergé, ministre, assemblée, ambassadeur, foule, Caprara Giovanni, Braschi cardinal, Lebrun Charles François, Cambacérès duc de, Berthier Louis Alexandre, Talleyrand-Périgord Charles Maurice de, Beauharnais Eugène de, Caulaincourt Armand Augustin Louis marquis de, Bernadotte Charles Jean-Baptiste, Fesch Joseph, Estève Martin comte, Harville Louis comte d', Murat Joachim, Sérurier Jean Mathieu Philibert comte, Moncey Bon Adrien Jeannot de, Bessières Jean-Baptiste, Soult Nicolas Jean-de-Dieu, Ségur Louis Philippe comte de, Belloy Jean-Baptiste de, La Rochefoucauld Mme de, La Valette Mme de, Bonaparte Napoléon Charles, Clary Julie, Beauharnais Hortense de, Bonaparte Caroline, Bonaparte Louis, Bonaparte Joseph, Kellermann François Christophe, Lefebvre François Joseph, Pérignon Dominique Catherine marquis de, Duroc Géraud Christophe Michel, Rémusat Augustin Laurent comte de, Junot Andoche, Madame Mère, Fontanges Caroline baronne de, Cossé-Brissac comte de, Lacépède comte de, Soult maréchale, Beaumont Marc Antoine comte de, Gravina Carlos duc de, Armstrong John)",,1804/12/02,,1946,Singer,,,,,,,,,"CONSTANS 1980, n° 1132",,,2022-07-26,,© Peter Willi ; Réunion des musées nationaux - utilisation soumise à autorisation,,,,,,,Ile-de-France,Yvelines,Versailles,musée national des châteaux de Versailles et de Trianon,Versailles ; musée national des châteaux de Versailles et de Trianon,Versailles ; musée national des châteaux de Versailles et de Trianon
